# normalized display name	exact unenchanted UniqueName
# Generated from formatted-items.txt; used for market_history demand lookups.
# entries=5092
"tame" caerleon cottontail	T8_FARM_RABBIT_EASTER_GROWN_DARK
master's infernal staff	T6_2H_INFERNOSTAFF
master's infinite crystal	T6_ARTEFACT_MAIN_SWORD_CRYSTAL
master's infinity blade	T6_MAIN_SWORD_CRYSTAL
master's inscribed bindings	T6_ARTEFACT_SHOES_PLATE_KEEPER
master's inscribed stone	T6_ARTEFACT_OFF_TOTEM_KEEPER
master's intact fey fibula	T6_ARTEFACT_HEAD_CLOTH_FEY
master's iron-clad staff	T6_2H_IRONCLADEDSTAFF
master's ironroot staff	T6_MAIN_NATURESTAFF_AVALON
master's jacket of tenacity	T6_ARMOR_LEATHER_AVALON
master's judicator armor	T6_ARMOR_PLATE_KEEPER
master's judicator boots	T6_SHOES_PLATE_KEEPER
master's judicator helmet	T6_HEAD_PLATE_KEEPER
master's keeper axeheads	T6_ARTEFACT_2H_DUALAXE_KEEPER
master's keeper cape	T6_CAPEITEM_KEEPER
master's keeper crest	T6_CAPEITEM_KEEPER_BP
master's keeper spearhead	T6_ARTEFACT_MAIN_SPEAR_KEEPER
master's kingmaker	T6_2H_CLAYMORE_AVALON
master's knight armor	T6_ARMOR_PLATE_SET2
master's knight boots	T6_SHOES_PLATE_SET2
master's knight helmet	T6_HEAD_PLATE_SET2
master's knight's vow	T6_GVGSEASONREWARD_FAMEBUFF
master's leering cane	T6_OFF_JESTERCANE_HELL
master's lifecurse staff	T6_MAIN_CURSEDSTAFF_UNDEAD
master's lifetouch staff	T6_MAIN_HOLYSTAFF_MORGANA
master's light crossbow	T6_MAIN_1HCROSSBOW
master's lightcaller	T6_2H_SHAPESHIFTER_AVALON
master's longbow	T6_2H_LONGBOW
master's lost arcane crystal	T6_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD
master's lost crossbow mechanism	T6_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD
master's lost cursed crystal	T6_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD
master's lumberjack backpack	T6_BACKPACK_GATHERER_WOOD
master's lumberjack cap	T6_HEAD_GATHERER_WOOD
master's lumberjack garb	T6_ARMOR_GATHERER_WOOD
master's lumberjack workboots	T6_SHOES_GATHERER_WOOD
master's lymhurst cape	T6_CAPEITEM_FW_LYMHURST
master's lymhurst crest	T6_CAPEITEM_FW_LYMHURST_BP
master's mace	T6_MAIN_MACE
master's mage cowl	T6_HEAD_CLOTH_SET3
master's mage robe	T6_ARMOR_CLOTH_SET3
master's mage sandals	T6_SHOES_CLOTH_SET3
master's malevolent locus	T6_2H_ENIGMATICORB_MORGANA
master's martlock cape	T6_CAPEITEM_FW_MARTLOCK
master's martlock crest	T6_CAPEITEM_FW_MARTLOCK_BP
master's massive metallic hand	T6_ARTEFACT_2H_HAMMER_AVALON
master's mercenary hood	T6_HEAD_LEATHER_SET1
master's mercenary jacket	T6_ARMOR_LEATHER_SET1
master's mercenary shoes	T6_SHOES_LEATHER_SET1
master's messianic curio	T6_ARTEFACT_MAIN_HOLYSTAFF_AVALON
master's miner backpack	T6_BACKPACK_GATHERER_ORE
master's miner cap	T6_HEAD_GATHERER_ORE
master's miner garb	T6_ARMOR_GATHERER_ORE
master's miner workboots	T6_SHOES_GATHERER_ORE
master's mirage crystal	T6_ARTEFACT_2H_DOUBLEBLADEDSTAFF_CRYSTAL
master's mistcaller	T6_OFF_HORN_KEEPER
master's mistpiercer	T6_2H_BOW_AVALON
master's mistwalker hood	T6_HEAD_LEATHER_FEY
master's mistwalker jacket	T6_ARMOR_LEATHER_FEY
master's mistwalker shoes	T6_SHOES_LEATHER_FEY
master's morgana cape	T6_CAPEITEM_MORGANA
master's morgana crest	T6_CAPEITEM_MORGANA_BP
master's morgana halberd head	T6_ARTEFACT_2H_HALBERD_MORGANA
master's morning star	T6_2H_FLAIL
master's muisak	T6_OFF_DEMONSKULL_HELL
master's nature staff	T6_MAIN_NATURESTAFF
master's oathkeepers	T6_2H_DUALMACE_AVALON
master's occult orb	T6_ARTEFACT_2H_ARCANESTAFF_HELL
master's occult staff	T6_2H_ARCANESTAFF_HELL
master's ox	T6_FARM_OX_GROWN
master's ox calf	T6_FARM_OX_BABY
master's permafrost prism	T6_2H_ICECRYSTAL_UNDEAD
master's phantom twinblade	T6_2H_DOUBLEBLADEDSTAFF_CRYSTAL
master's pickaxe	T6_2H_TOOL_PICK
master's pike	T6_2H_SPEAR
master's polehammer	T6_2H_POLEHAMMER
master's possessed catalyst	T6_ARTEFACT_2H_ENIGMATICORB_MORGANA
master's possessed scroll	T6_ARTEFACT_MAIN_HOLYSTAFF_MORGANA
master's preserved animal fur	T6_ARTEFACT_ARMOR_PLATE_KEEPER
master's preserved log	T6_ARTEFACT_2H_NATURESTAFF_KEEPER
master's preserved rocks	T6_ARTEFACT_2H_ROCKSTAFF_KEEPER
master's primal staff	T6_2H_SHAPESHIFTER_SET3
master's prowling staff	T6_2H_SHAPESHIFTER_SET1
master's pulsating crystal	T6_ARTEFACT_2H_KNUCKLES_CRYSTAL
master's pyreheart crystal	T6_ARTEFACT_MAIN_FIRESTAFF_CRYSTAL
master's quarrier backpack	T6_BACKPACK_GATHERER_ROCK
master's quarrier cap	T6_HEAD_GATHERER_ROCK
master's quarrier garb	T6_ARMOR_GATHERER_ROCK
master's quarrier workboots	T6_SHOES_GATHERER_ROCK
master's quarterstaff	T6_2H_QUARTERSTAFF
master's rampant staff	T6_2H_NATURESTAFF_KEEPER
master's ravenstrike cestus	T6_2H_KNUCKLES_MORGANA
master's realmbreaker	T6_2H_AXE_AVALON
master's redemption staff	T6_2H_HOLYSTAFF_UNDEAD
master's reinforced morgana pole	T6_ARTEFACT_2H_COMBATSTAFF_MORGANA
master's relic	T6_RELIC
master's remnants of the old king	T6_ARTEFACT_2H_CLAYMORE_AVALON
master's repair kit	T6_FURNITUREITEM_REPAIRKIT
master's riding horse	T6_MOUNT_HORSE
master's rift crystal	T6_ARTEFACT_2H_GLAIVE_CRYSTAL
master's rift glaive	T6_2H_GLAIVE_CRYSTAL
master's robe of purity	T6_ARMOR_CLOTH_AVALON
master's rootbound staff	T6_2H_SHAPESHIFTER_SET2
master's rotcaller staff	T6_MAIN_CURSEDSTAFF_CRYSTAL
master's rotten crystal	T6_ARTEFACT_MAIN_CURSEDSTAFF_CRYSTAL
master's royal armor	T6_ARMOR_PLATE_ROYAL
master's royal boots	T6_SHOES_PLATE_ROYAL
master's royal cowl	T6_HEAD_CLOTH_ROYAL
master's royal helmet	T6_HEAD_PLATE_ROYAL
master's royal hood	T6_HEAD_LEATHER_ROYAL
master's royal jacket	T6_ARMOR_LEATHER_ROYAL
master's royal robe	T6_ARMOR_CLOTH_ROYAL
master's royal sandals	T6_SHOES_CLOTH_ROYAL
master's royal shoes	T6_SHOES_LEATHER_ROYAL
master's royal sigil	QUESTITEM_TOKEN_ROYAL_T6
master's ruined ancestral vamplate	T6_ARTEFACT_MAIN_SPEAR_LANCE_AVALON
master's rune	T6_RUNE
master's runed horn	T6_ARTEFACT_OFF_HORN_KEEPER
master's runed rock	T6_ARTEFACT_MAIN_ROCKMACE_KEEPER
master's runestone golem remnant	T6_ARTEFACT_2H_SHAPESHIFTER_KEEPER
master's sacred scepter	T6_OFF_TALISMAN_AVALON
master's sanctified belt	T6_ARTEFACT_ARMOR_CLOTH_AVALON
master's sanctified bindings	T6_ARTEFACT_SHOES_CLOTH_AVALON
master's sanctified mask	T6_ARTEFACT_HEAD_CLOTH_AVALON
master's sandals of purity	T6_SHOES_CLOTH_AVALON
master's sarcophagus	T6_OFF_TOWERSHIELD_UNDEAD
master's satchel of insight	T6_BAG_INSIGHT
master's scholar cowl	T6_HEAD_CLOTH_SET1
master's scholar robe	T6_ARMOR_CLOTH_SET1
master's scholar sandals	T6_SHOES_CLOTH_SET1
master's serpent crystal	T6_ARTEFACT_2H_SHAPESHIFTER_CRYSTAL
master's severed celestial keepsake	T6_ARTEFACT_OFF_CENSER_AVALON
master's severed demonic horns	T6_ARTEFACT_2H_KNUCKLES_HELL
master's shadowcaller	T6_MAIN_CURSEDSTAFF_AVALON
master's shattered avalonian memento	T6_ARTEFACT_OFF_TALISMAN_AVALON
master's shield	T6_OFF_SHIELD
master's shoes of tenacity	T6_SHOES_LEATHER_AVALON
master's sickle	T6_2H_TOOL_SICKLE
master's siege banner	T6_SIEGE_BANNER
master's siege hammer	T6_2H_TOOL_SIEGEHAMMER
master's siegebow	T6_2H_CROSSBOWLARGE_MORGANA
master's skinner backpack	T6_BACKPACK_GATHERER_HIDE
master's skinner cap	T6_HEAD_GATHERER_HIDE
master's skinner garb	T6_ARMOR_GATHERER_HIDE
master's skinner workboots	T6_SHOES_GATHERER_HIDE
master's skinning knife	T6_2H_TOOL_KNIFE
master's skystrider bow	T6_2H_BOW_CRYSTAL
master's smuggler cape	T6_CAPEITEM_SMUGGLER
master's smuggler crest	T6_CAPEITEM_SMUGGLER_BP
master's soldier armor	T6_ARMOR_PLATE_SET1
master's soldier boots	T6_SHOES_PLATE_SET1
master's soldier helmet	T6_HEAD_PLATE_SET1
master's soul	T6_SOUL
master's soulscythe	T6_2H_TWINSCYTHE_HELL
master's spear	T6_MAIN_SPEAR
master's specter hood	T6_HEAD_LEATHER_UNDEAD
master's specter jacket	T6_ARMOR_LEATHER_UNDEAD
master's specter shoes	T6_SHOES_LEATHER_UNDEAD
master's spiked gauntlets	T6_2H_KNUCKLES_SET3
master's spirithunter	T6_2H_HARPOON_HELL
master's staff of balance	T6_2H_ROCKSTAFF_KEEPER
master's stalker hood	T6_HEAD_LEATHER_MORGANA
master's stalker jacket	T6_ARMOR_LEATHER_MORGANA
master's stalker shoes	T6_SHOES_LEATHER_MORGANA
master's startouched crystal	T6_ARTEFACT_2H_ARCANESTAFF_CRYSTAL
master's stillgaze staff	T6_2H_SHAPESHIFTER_CRYSTAL
master's stone hammer	T6_2H_TOOL_HAMMER
master's symbol of blight	T6_ARTEFACT_2H_NATURESTAFF_HELL
master's table	T6_FURNITUREITEM_TABLE
master's tame giant stag	T6_FARM_GIANTSTAG_GROWN
master's taproot	T6_OFF_TOTEM_KEEPER
master's thetford cape	T6_CAPEITEM_FW_THETFORD
master's thetford crest	T6_CAPEITEM_FW_THETFORD_BP
master's timelocked crystal	T6_ARTEFACT_OFF_TOME_CRYSTAL
master's timelocked grimoire	T6_OFF_TOME_CRYSTAL
master's timeworn walking staff	T6_ARTEFACT_2H_QUARTERSTAFF_AVALON
master's tombhammer	T6_2H_HAMMER_UNDEAD
master's tome of insight	T6_SKILLBOOK_NONTRADABLE
master's tome of learning	T6_LEARNINGPOINTS_NONTRADABLE
master's tome of spells	T6_OFF_BOOK
master's torch	T6_OFF_TORCH
master's tracking toolkit	T6_2H_TOOL_TRACKING
master's transport ox	T6_MOUNT_OX
master's trinity spear	T6_2H_TRIDENT_UNDEAD
master's truebolt hammer	T6_2H_HAMMER_CRYSTAL
master's twin slayers	T6_2H_DAGGERPAIR_CRYSTAL
master's unbreakable crystal	T6_ARTEFACT_OFF_SHIELD_CRYSTAL
master's unbreakable ward	T6_OFF_SHIELD_CRYSTAL
master's undead cape	T6_CAPEITEM_UNDEAD
master's undead crest	T6_CAPEITEM_UNDEAD_BP
master's unholy scroll	T6_ARTEFACT_2H_INFERNOSTAFF_MORGANA
master's untarnished griffin feathers	T6_ARTEFACT_ARMOR_LEATHER_FEY
master's uprooted perennial sapling	T6_ARTEFACT_MAIN_NATURESTAFF_AVALON
master's ursine guardian remains	T6_ARTEFACT_2H_KNUCKLES_KEEPER
master's ursine maulers	T6_2H_KNUCKLES_KEEPER
master's veilweaver carapace	T6_ARTEFACT_ARMOR_PLATE_FEY
master's veilweaver claws	T6_ARTEFACT_SHOES_PLATE_FEY
master's veilweaver mandibles	T6_ARTEFACT_HEAD_PLATE_FEY
master's wailing bow	T6_2H_BOW_HELL
master's warbow	T6_2H_WARBOW
master's warhorse	T6_MOUNT_ARMORED_HORSE_SKIN_01
master's warped raven plate	T6_ARTEFACT_2H_KNUCKLES_MORGANA
master's weeping repeater	T6_2H_REPEATINGCROSSBOW_UNDEAD
master's werewolf remnant	T6_ARTEFACT_2H_SHAPESHIFTER_MORGANA
master's whispering bow	T6_2H_LONGBOW_UNDEAD
master's wild staff	T6_2H_WILDSTAFF
master's wildfire orb	T6_ARTEFACT_MAIN_FIRESTAFF_KEEPER
master's wildfire staff	T6_MAIN_FIRESTAFF_KEEPER
master's windborne crystal	T6_ARTEFACT_2H_BOW_CRYSTAL
master's witchwork staff	T6_MAIN_ARCANESTAFF_UNDEAD
mechanical boar	SKIN_DIREBOAR_MECHANICAL_AJ
medium hide	T4_HIDE
memorial of the fallen	UNIQUE_FURNITUREITEM_ADC_GRAVE_B
merchant's avatar	UNIQUE_AVATAR_AJ_ECONOMY_01
merchant's avatar ring	UNIQUE_AVATARRING_AJ_ECONOMY_01
meteorite ore	T7_ORE
meteorite ore sample	T7_FURNITUREITEM_TROPHY_ORE
meteorite steel bar	T7_METALBAR
midwater octopus	T5_FISH_SALTWATER_ALL_RARE
midwater octopus salad	T4_MEAL_SALAD_FISH
minor acid potion	T3_POTION_ACID
minor berserk potion	T4_POTION_BERSERK
minor calming potion	T3_POTION_MOB_RESET
minor cleansing potion	T3_POTION_CLEANSE2
minor energy potion	T2_POTION_ENERGY
minor gathering potion	T4_POTION_GATHER
minor gigantify potion	T3_POTION_REVIVE
minor healing potion	T2_POTION_HEAL
minor hellfire potion	T4_POTION_LAVA
minor poison potion	T4_POTION_COOLDOWN
minor resistance potion	T3_POTION_STONESKIN
minor sticky potion	T3_POTION_SLOWFIELD
minor tornado in a bottle	T4_POTION_TORNADO
mistbison	SKIN_OX_MIST
mistprowler	SKIN_COUGAR_RANGER
miststalker	SKIN_COUGAR_MIST
mistwolf	SKIN_DIREWOLF_MIST
mobile banner victory emote charge	T1_KILL_EMOTE_FLAG_MOBILE_CHARGES_NONTRADABLE
modest arena display	UNIQUE_FURNITUREITEM_VANITY_ARENA_BANNER_04
monk's hood	UNIQUE_HEAD_VANITY_PRIEST
monk's robe	UNIQUE_ARMOR_VANITY_PRIEST
monk's sandals	UNIQUE_SHOES_VANITY_PRIEST
monk's walking staff	UNIQUE_OFF_VANITY_PRIEST
moose	T6_MOUNT_GIANTSTAG_MOOSE
moose calf	T6_FARM_GIANTSTAG_MOOSE_BABY
morgana candle stand	UNIQUE_FURNITUREITEM_MORGANA_CANDLESTAND_A
morgana carpet	UNIQUE_FURNITUREITEM_MORGANA_CARPET_A
morgana challenge chest	UNIQUE_LOOTCHEST_ADC_MAY2019
morgana cultist statue	UNIQUE_FURNITUREITEM_MORGANA_STATUE_A
morgana mare	SKIN_ARMORED_HORSE_MORGANA
morgana mare saddle	T5_MOUNTUPGRADE_HORSE_MORGANA
morgana raven	UNIQUE_MOUNT_MORGANA_RAVEN_ADC
morgana stone archway	UNIQUE_FURNITUREITEM_MORGANA_ARCHWAY_A
morgana's favor	QUESTITEM_TOKEN_MORGANA
mountain blindeye	T5_FISH_FRESHWATER_MOUNTAIN_RARE
mountain blindeye pie	T5_MEAL_PIE_FISH
mountainheart	T1_FACTION_MOUNTAIN_TOKEN_1
mule skin: jack o' donkey	UNIQUE_UNLOCK_SKIN_DONKEY_HALLOWEEN
mule skin: recruiter's donkey	UNIQUE_UNLOCK_SKIN_DONKEY_UNIQUE_TELLAFRIEND
murkwater clam	T5_FISH_FRESHWATER_SWAMP_RARE
murkwater clam soup	T3_MEAL_SOUP_FISH
mutton sandwich	T6_MEAL_SANDWICH
mutton stew	T6_MEAL_STEW
mystic owlet	T5_FARM_OWL_FW_BRECILIEN_BABY
nature stone sigil	PLAYERISLAND_FURNITUREITEM_STONE_NATURE_EMBLEM_GROUND_B
navigator's boots	UNIQUE_SHOES_VANITY_PIRATE
navigator's coat	UNIQUE_ARMOR_VANITY_PIRATE
navigator's cockatoo cage	UNIQUE_OFF_VANITY_PIRATE_COCKATOO
navigator's green parrot cage	UNIQUE_OFF_VANITY_PIRATE_GREEN
navigator's hat	UNIQUE_HEAD_VANITY_PIRATE
navigator's parrot cage	UNIQUE_OFF_VANITY_PIRATE
navigator's red parrot cage	UNIQUE_OFF_VANITY_PIRATE_RED
neat cloth	T3_CLOTH
nebulous memento	UNIQUE_FURNITUREITEM_KILLTROPHY_MISTS_LARGE
necromantic elixir	T5_MOUNTUPGRADE_HORSE_CURSE
nightshade unicorn	SKIN_HORSE_UNICORN
ninth anniversary avatar	UNIQUE_AVATAR_ANNIVERSARY_2026
ninth anniversary ring	UNIQUE_AVATARRING_ANNIVERSARY_2026
ninth-year stallion	SKIN_HORSE_ANNIVERSARY_2026
noble community chest	UNIQUE_LOOTCHEST_AOCP
noble community token	UNIQUE_TOKEN_AOCP
noble knight's armor	UNIQUE_ARMOR_VANITY_KNIGHT_AOCP
noble knight's cape	UNIQUE_CAPE_VANITY_KNIGHT_AOCP
noble knight's helmet	UNIQUE_HEAD_VANITY_KNIGHT_AOCP
noble knight's shoes	UNIQUE_SHOES_VANITY_KNIGHT_AOCP
noblewoman's dress	UNIQUE_ARMOR_VANITY_DRESS_BLACK
noblewoman's jewelry	UNIQUE_HEAD_VANITY_DRESS_BLACK
noblewoman's shoes	UNIQUE_SHOES_VANITY_DRESS_BLACK
novice blacksmith contract	T2_LABOURER_CONTRACT_WARRIOR
novice blacksmith's journal (empty)	T2_JOURNAL_WARRIOR_EMPTY
novice blacksmith's journal (full)	T2_JOURNAL_WARRIOR_FULL
novice blacksmith's journal (partially full)	T2_JOURNAL_WARRIOR
novice cropper contract	T2_LABOURER_CONTRACT_FIBER
novice cropper's journal (empty)	T2_JOURNAL_FIBER_EMPTY
novice cropper's journal (full)	T2_JOURNAL_FIBER_FULL
novice cropper's journal (partially full)	T2_JOURNAL_FIBER
novice cropper's trophy journal (empty)	T2_JOURNAL_TROPHY_FIBER_EMPTY
novice cropper's trophy journal (full)	T2_JOURNAL_TROPHY_FIBER_FULL
novice cropper's trophy journal (partially full)	T2_JOURNAL_TROPHY_FIBER
novice fisherman contract	T2_LABOURER_CONTRACT_FISHERMAN
novice fisherman's journal (empty)	T2_JOURNAL_FISHING_EMPTY
novice fisherman's journal (full)	T2_JOURNAL_FISHING_FULL
novice fisherman's journal (partially full)	T2_JOURNAL_FISHING
novice fisherman's trophy journal (empty)	T2_JOURNAL_TROPHY_FISHING_EMPTY
novice fisherman's trophy journal (full)	T2_JOURNAL_TROPHY_FISHING_FULL
novice fisherman's trophy journal (partially full)	T2_JOURNAL_TROPHY_FISHING
novice fletcher contract	T2_LABOURER_CONTRACT_HUNTER
novice fletcher's journal (empty)	T2_JOURNAL_HUNTER_EMPTY
novice fletcher's journal (full)	T2_JOURNAL_HUNTER_FULL
novice fletcher's journal (partially full)	T2_JOURNAL_HUNTER
novice gamekeeper contract	T2_LABOURER_CONTRACT_HIDE
novice gamekeeper's journal (empty)	T2_JOURNAL_HIDE_EMPTY
novice gamekeeper's journal (full)	T2_JOURNAL_HIDE_FULL
novice gamekeeper's journal (partially full)	T2_JOURNAL_HIDE
novice gamekeeper's trophy journal (empty)	T2_JOURNAL_TROPHY_HIDE_EMPTY
novice gamekeeper's trophy journal (full)	T2_JOURNAL_TROPHY_HIDE_FULL
novice gamekeeper's trophy journal (partially full)	T2_JOURNAL_TROPHY_HIDE
novice imbuer contract	T2_LABOURER_CONTRACT_MAGE
novice imbuer's journal (empty)	T2_JOURNAL_MAGE_EMPTY
novice imbuer's journal (full)	T2_JOURNAL_MAGE_FULL
novice imbuer's journal (partially full)	T2_JOURNAL_MAGE
novice lumberjack contract	T2_LABOURER_CONTRACT_WOOD
novice lumberjack's journal (empty)	T2_JOURNAL_WOOD_EMPTY
novice lumberjack's journal (full)	T2_JOURNAL_WOOD_FULL
novice lumberjack's journal (partially full)	T2_JOURNAL_WOOD
novice lumberjack's trophy journal (empty)	T2_JOURNAL_TROPHY_WOOD_EMPTY
novice lumberjack's trophy journal (full)	T2_JOURNAL_TROPHY_WOOD_FULL
novice lumberjack's trophy journal (partially full)	T2_JOURNAL_TROPHY_WOOD
novice mercenary contract	T2_LABOURER_CONTRACT_MERCENARY
novice mercenary's journal (empty)	T2_JOURNAL_MERCENARY_EMPTY
novice mercenary's journal (full)	T2_JOURNAL_MERCENARY_FULL
novice mercenary's journal (partially full)	T2_JOURNAL_MERCENARY
novice mercenary's trophy	T2_FURNITUREITEM_TROPHY_MERCENARY
novice mercenary's trophy journal (empty)	T2_JOURNAL_TROPHY_MERCENARY_EMPTY
novice mercenary's trophy journal (full)	T2_JOURNAL_TROPHY_MERCENARY_FULL
novice mercenary's trophy journal (partially full)	T2_JOURNAL_TROPHY_MERCENARY
novice prospector contract	T2_LABOURER_CONTRACT_ORE
novice prospector's journal (empty)	T2_JOURNAL_ORE_EMPTY
novice prospector's journal (full)	T2_JOURNAL_ORE_FULL
novice prospector's journal (partially full)	T2_JOURNAL_ORE
novice prospector's trophy journal (empty)	T2_JOURNAL_TROPHY_ORE_EMPTY
novice prospector's trophy journal (full)	T2_JOURNAL_TROPHY_ORE_FULL
novice prospector's trophy journal (partially full)	T2_JOURNAL_TROPHY_ORE
novice stonecutter contract	T2_LABOURER_CONTRACT_STONE
novice stonecutter's journal (empty)	T2_JOURNAL_STONE_EMPTY
novice stonecutter's journal (full)	T2_JOURNAL_STONE_FULL
novice stonecutter's journal (partially full)	T2_JOURNAL_STONE
novice stonecutter's trophy journal (empty)	T2_JOURNAL_TROPHY_STONE_EMPTY
novice stonecutter's trophy journal (full)	T2_JOURNAL_TROPHY_STONE_FULL
novice stonecutter's trophy journal (partially full)	T2_JOURNAL_TROPHY_STONE
novice tinker contract	T2_LABOURER_CONTRACT_TOOLMAKER
novice tinker's journal (empty)	T2_JOURNAL_TOOLMAKER_EMPTY
novice tinker's journal (full)	T2_JOURNAL_TOOLMAKER_FULL
novice tinker's journal (partially full)	T2_JOURNAL_TOOLMAKER
novice's axe	T2_2H_TOOL_AXE
novice's bag	T2_BAG
novice's bag of silver	T2_SILVERBAG_NONTRADABLE
novice's bed	T2_FURNITUREITEM_BED
novice's bow	T2_2H_BOW
novice's broadsword	T2_MAIN_SWORD
novice's cape	T2_CAPE
novice's chest	T2_FURNITUREITEM_CHEST
novice's fire staff	T2_MAIN_FIRESTAFF
novice's generalist trophy journal (empty)	T2_JOURNAL_TROPHY_GENERAL_EMPTY
novice's generalist trophy journal (full)	T2_JOURNAL_TROPHY_GENERAL_FULL
novice's generalist trophy journal (partially full)	T2_JOURNAL_TROPHY_GENERAL
novice's mercenary hood	T2_HEAD_LEATHER_SET1
novice's mercenary jacket	T2_ARMOR_LEATHER_SET1
novice's mercenary shoes	T2_SHOES_LEATHER_SET1
novice's mule	T2_MOUNT_MULE
novice's pickaxe	T2_2H_TOOL_PICK
novice's scholar cowl	T2_HEAD_CLOTH_SET1
novice's scholar robe	T2_ARMOR_CLOTH_SET1
novice's scholar sandals	T2_SHOES_CLOTH_SET1
novice's shield	T2_OFF_SHIELD
novice's sickle	T2_2H_TOOL_SICKLE
novice's siege hammer	T2_2H_TOOL_SIEGEHAMMER
novice's skinning knife	T2_2H_TOOL_KNIFE
novice's soldier armor	T2_ARMOR_PLATE_SET1
novice's soldier boots	T2_SHOES_PLATE_SET1
novice's soldier helmet	T2_HEAD_PLATE_SET1
novice's stone hammer	T2_2H_TOOL_HAMMER
novice's table	T2_FURNITUREITEM_TABLE
novice's tome of insight	T2_SKILLBOOK_NONTRADABLE
novice's tome of learning	T2_LEARNINGPOINTS_NONTRADABLE
novice's tome of spells	T2_OFF_BOOK
occult cougar	SKIN_COUGAR_OCCULT
occult octavo	T7_FURNITUREITEM_TROPHY_GENERAL
ogronios banner	UNIQUE_CAPE_TELLAFRIEND_BANNER_02
ol' betsy	SKIN_OX_BETSY_TELLAFRIEND
opulent cloth	T7_CLOTH
ornamental scepter	TREASURE_CEREMONIAL_RARITY1
ornate cloth	T5_CLOTH
ornate lantern	PLAYERISLAND_FURNITUREITEM_NOBLE_STREET_LANTERN_A
outlands map carpet	UNIQUE_FURNITUREITEM_OLD_OUTLAND_CARPET
overgrown victory emote charge	T1_KILL_EMOTE_OVERGROWN_CHARGES_NONTRADABLE
paladin's armor	UNIQUE_ARMOR_VANITY_PALADIN
paladin's boots	UNIQUE_SHOES_VANITY_PALADIN
paladin's cape	UNIQUE_CAPE_VANITY_PALADIN
paladin's helmet	UNIQUE_HEAD_VANITY_PALADIN
paladin's heraldic armor	UNIQUE_ARMOR_VANITY_PALADIN_GUILD_COLORED
paladin's heraldic cape	UNIQUE_CAPE_VANITY_PALADIN_GUILD_COLORED
paladin's heraldic warhorse	SKIN_ARMORED_HORSE_PALADIN_GUILD_COLORED
paladin's warhorse	SKIN_ARMORED_HORSE_PALADIN
panda	SKIN_DIREBEAR_PANDA_TELLAFRIEND
paragon's armor	UNIQUE_ARMOR_VANITY_WARRIOR_KING
paragon's boots	UNIQUE_SHOES_VANITY_WARRIOR_KING
paragon's crown	UNIQUE_HEAD_VANITY_WARRIOR_KING
paragon's sword and cape	UNIQUE_CAPE_VANITY_WARRIOR_KING
pegasus	SKIN_HORSE_PEGASUS_LIGHT
perch trophy	T3_FURNITUREITEM_TROPHY_FISH
pest lizard	T7_MOUNT_MONITORLIZARD_ADC
phylactery of souls	UNIQUE_VANITY_2H_PHYLACTERY_SOULKEEPER
pig	T7_FARM_PIG_GROWN
piglet	T7_FARM_PIG_BABY
pike trophy	T4_FURNITUREITEM_TROPHY_FISH
pile of tomes	UNIQUE_LOOTCHEST_SKILLBOOKS_TELLAFRIEND
pine bonsai	T4_FURNITUREITEM_TROPHY_WOOD
pine logs	T4_WOOD
pine planks	T4_PLANKS
poison potion	T6_POTION_COOLDOWN
pork omelette	T7_MEAL_OMELETTE
pork pie	T7_MEAL_PIE
potato salad	T6_MEAL_SALAD
potato schnapps	T6_ALCOHOL
potato seeds	T6_FARM_POTATO_SEED
potatoes	T6_POTATO
premium victory pouch (arena)	T3_LOOTBAG_ARENA_WIN_PREMIUM_0
premium victory pouch (bronze i)	T3_LOOTBAG_ARENA_WIN_PREMIUM_BRONZE1
premium victory pouch (bronze ii)	T3_LOOTBAG_ARENA_WIN_PREMIUM_BRONZE2
premium victory pouch (bronze iii)	T3_LOOTBAG_ARENA_WIN_PREMIUM_BRONZE3
premium victory pouch (bronze iv)	T3_LOOTBAG_ARENA_WIN_PREMIUM_BRONZE4
premium victory pouch (crystal)	T3_LOOTBAG_ARENA_WIN_PREMIUM_CRYSTAL
premium victory pouch (gold i)	T3_LOOTBAG_ARENA_WIN_PREMIUM_GOLD1
premium victory pouch (gold ii)	T3_LOOTBAG_ARENA_WIN_PREMIUM_GOLD2
premium victory pouch (gold iii)	T3_LOOTBAG_ARENA_WIN_PREMIUM_GOLD3
premium victory pouch (gold iv)	T3_LOOTBAG_ARENA_WIN_PREMIUM_GOLD4
premium victory pouch (iron i)	T3_LOOTBAG_ARENA_WIN_PREMIUM_IRON1
premium victory pouch (iron ii)	T3_LOOTBAG_ARENA_WIN_PREMIUM_IRON2
premium victory pouch (iron iii)	T3_LOOTBAG_ARENA_WIN_PREMIUM_IRON3
premium victory pouch (iron iv)	T3_LOOTBAG_ARENA_WIN_PREMIUM_IRON4
premium victory pouch (silver i)	T3_LOOTBAG_ARENA_WIN_PREMIUM_SILVER1
premium victory pouch (silver ii)	T3_LOOTBAG_ARENA_WIN_PREMIUM_SILVER2
premium victory pouch (silver iii)	T3_LOOTBAG_ARENA_WIN_PREMIUM_SILVER3
premium victory pouch (silver iv)	T3_LOOTBAG_ARENA_WIN_PREMIUM_SILVER4
