# normalized display name	exact unenchanted UniqueName
# entries=1653
acid potion	T5_POTION_ACID
master's infinity blade	T6_MAIN_SWORD_CRYSTAL
master's iron-clad staff	T6_2H_IRONCLADEDSTAFF
master's ironroot staff	T6_MAIN_NATURESTAFF_AVALON
master's jacket of tenacity	T6_ARMOR_LEATHER_AVALON
master's judicator armor	T6_ARMOR_PLATE_KEEPER
master's judicator boots	T6_SHOES_PLATE_KEEPER
master's judicator helmet	T6_HEAD_PLATE_KEEPER
master's keeper cape	T6_CAPEITEM_KEEPER
master's keeper crest	T6_CAPEITEM_KEEPER_BP
master's kingmaker	T6_2H_CLAYMORE_AVALON
master's knight armor	T6_ARMOR_PLATE_SET2
master's knight boots	T6_SHOES_PLATE_SET2
master's knight helmet	T6_HEAD_PLATE_SET2
master's leering cane	T6_OFF_JESTERCANE_HELL
master's lifecurse staff	T6_MAIN_CURSEDSTAFF_UNDEAD
master's lifetouch staff	T6_MAIN_HOLYSTAFF_MORGANA
master's light crossbow	T6_MAIN_1HCROSSBOW
master's lightcaller	T6_2H_SHAPESHIFTER_AVALON
master's longbow	T6_2H_LONGBOW
master's lumberjack cap	T6_HEAD_GATHERER_WOOD
master's lumberjack garb	T6_ARMOR_GATHERER_WOOD
master's lumberjack workboots	T6_SHOES_GATHERER_WOOD
master's lymhurst cape	T6_CAPEITEM_FW_LYMHURST
master's lymhurst crest	T6_CAPEITEM_FW_LYMHURST_BP
master's mace	T6_MAIN_MACE
master's mage cowl	T6_HEAD_CLOTH_SET3
master's mage robe	T6_ARMOR_CLOTH_SET3
master's mage sandals	T6_SHOES_CLOTH_SET3
master's malevolent locus	T6_2H_ENIGMATICORB_MORGANA
master's martlock cape	T6_CAPEITEM_FW_MARTLOCK
master's martlock crest	T6_CAPEITEM_FW_MARTLOCK_BP
master's mercenary hood	T6_HEAD_LEATHER_SET1
master's mercenary jacket	T6_ARMOR_LEATHER_SET1
master's mercenary shoes	T6_SHOES_LEATHER_SET1
master's miner cap	T6_HEAD_GATHERER_ORE
master's miner garb	T6_ARMOR_GATHERER_ORE
master's miner workboots	T6_SHOES_GATHERER_ORE
master's mistcaller	T6_OFF_HORN_KEEPER
master's mistpiercer	T6_2H_BOW_AVALON
master's mistwalker hood	T6_HEAD_LEATHER_FEY
master's mistwalker jacket	T6_ARMOR_LEATHER_FEY
master's mistwalker shoes	T6_SHOES_LEATHER_FEY
master's morgana cape	T6_CAPEITEM_MORGANA
master's morgana crest	T6_CAPEITEM_MORGANA_BP
master's morning star	T6_2H_FLAIL
master's muisak	T6_OFF_DEMONSKULL_HELL
master's nature staff	T6_MAIN_NATURESTAFF
master's oathkeepers	T6_2H_DUALMACE_AVALON
master's occult staff	T6_2H_ARCANESTAFF_HELL
master's permafrost prism	T6_2H_ICECRYSTAL_UNDEAD
master's phantom twinblade	T6_2H_DOUBLEBLADEDSTAFF_CRYSTAL
master's pickaxe	T6_2H_TOOL_PICK
master's pike	T6_2H_SPEAR
master's polehammer	T6_2H_POLEHAMMER
master's primal staff	T6_2H_SHAPESHIFTER_SET3
master's prowling staff	T6_2H_SHAPESHIFTER_SET1
master's quarrier cap	T6_HEAD_GATHERER_ROCK
master's quarrier garb	T6_ARMOR_GATHERER_ROCK
master's quarrier workboots	T6_SHOES_GATHERER_ROCK
master's quarterstaff	T6_2H_QUARTERSTAFF
master's rampant staff	T6_2H_NATURESTAFF_KEEPER
master's ravenstrike cestus	T6_2H_KNUCKLES_MORGANA
master's realmbreaker	T6_2H_AXE_AVALON
master's redemption staff	T6_2H_HOLYSTAFF_UNDEAD
master's rift glaive	T6_2H_GLAIVE_CRYSTAL
master's robe of purity	T6_ARMOR_CLOTH_AVALON
master's rootbound staff	T6_2H_SHAPESHIFTER_SET2
master's rotcaller staff	T6_MAIN_CURSEDSTAFF_CRYSTAL
master's royal armor	T6_ARMOR_PLATE_ROYAL
master's royal boots	T6_SHOES_PLATE_ROYAL
master's royal cowl	T6_HEAD_CLOTH_ROYAL
master's royal helmet	T6_HEAD_PLATE_ROYAL
master's royal hood	T6_HEAD_LEATHER_ROYAL
master's royal jacket	T6_ARMOR_LEATHER_ROYAL
master's royal robe	T6_ARMOR_CLOTH_ROYAL
master's royal sandals	T6_SHOES_CLOTH_ROYAL
master's royal shoes	T6_SHOES_LEATHER_ROYAL
master's sacred scepter	T6_OFF_TALISMAN_AVALON
master's sandals of purity	T6_SHOES_CLOTH_AVALON
master's sarcophagus	T6_OFF_TOWERSHIELD_UNDEAD
master's satchel of insight	T6_BAG_INSIGHT
master's scholar cowl	T6_HEAD_CLOTH_SET1
master's scholar robe	T6_ARMOR_CLOTH_SET1
master's scholar sandals	T6_SHOES_CLOTH_SET1
master's shadowcaller	T6_MAIN_CURSEDSTAFF_AVALON
master's shield	T6_OFF_SHIELD
master's shoes of tenacity	T6_SHOES_LEATHER_AVALON
master's sickle	T6_2H_TOOL_SICKLE
master's siege hammer	T6_2H_TOOL_SIEGEHAMMER
master's siegebow	T6_2H_CROSSBOWLARGE_MORGANA
master's skinner cap	T6_HEAD_GATHERER_HIDE
master's skinner garb	T6_ARMOR_GATHERER_HIDE
master's skinner workboots	T6_SHOES_GATHERER_HIDE
master's skinning knife	T6_2H_TOOL_KNIFE
master's skystrider bow	T6_2H_BOW_CRYSTAL
master's smuggler cape	T6_CAPEITEM_SMUGGLER
master's smuggler crest	T6_CAPEITEM_SMUGGLER_BP
master's soldier armor	T6_ARMOR_PLATE_SET1
master's soldier boots	T6_SHOES_PLATE_SET1
master's soldier helmet	T6_HEAD_PLATE_SET1
master's soulscythe	T6_2H_TWINSCYTHE_HELL
master's spear	T6_MAIN_SPEAR
master's specter hood	T6_HEAD_LEATHER_UNDEAD
master's specter jacket	T6_ARMOR_LEATHER_UNDEAD
master's specter shoes	T6_SHOES_LEATHER_UNDEAD
master's spiked gauntlets	T6_2H_KNUCKLES_SET3
master's spirithunter	T6_2H_HARPOON_HELL
master's staff of balance	T6_2H_ROCKSTAFF_KEEPER
master's stalker hood	T6_HEAD_LEATHER_MORGANA
master's stalker jacket	T6_ARMOR_LEATHER_MORGANA
master's stalker shoes	T6_SHOES_LEATHER_MORGANA
master's stillgaze staff	T6_2H_SHAPESHIFTER_CRYSTAL
master's stone hammer	T6_2H_TOOL_HAMMER
master's taproot	T6_OFF_TOTEM_KEEPER
master's thetford cape	T6_CAPEITEM_FW_THETFORD
master's thetford crest	T6_CAPEITEM_FW_THETFORD_BP
master's timelocked grimoire	T6_OFF_TOME_CRYSTAL
master's tombhammer	T6_2H_HAMMER_UNDEAD
master's tome of spells	T6_OFF_BOOK
master's torch	T6_OFF_TORCH
master's tracking toolkit	T6_2H_TOOL_TRACKING
master's trinity spear	T6_2H_TRIDENT_UNDEAD
master's truebolt hammer	T6_2H_HAMMER_CRYSTAL
master's twin slayers	T6_2H_DAGGERPAIR_CRYSTAL
master's unbreakable ward	T6_OFF_SHIELD_CRYSTAL
master's undead cape	T6_CAPEITEM_UNDEAD
master's undead crest	T6_CAPEITEM_UNDEAD_BP
master's ursine maulers	T6_2H_KNUCKLES_KEEPER
master's wailing bow	T6_2H_BOW_HELL
master's warbow	T6_2H_WARBOW
master's weeping repeater	T6_2H_REPEATINGCROSSBOW_UNDEAD
master's whispering bow	T6_2H_LONGBOW_UNDEAD
master's wild staff	T6_2H_WILDSTAFF
master's wildfire staff	T6_MAIN_FIRESTAFF_KEEPER
master's witchwork staff	T6_MAIN_ARCANESTAFF_UNDEAD
midwater octopus salad	T4_MEAL_SALAD_FISH
minor acid potion	T3_POTION_ACID
minor berserk potion	T4_POTION_BERSERK
minor calming potion	T3_POTION_MOB_RESET
minor cleansing potion	T3_POTION_CLEANSE2
minor energy potion	T2_POTION_ENERGY
minor gathering potion	T4_POTION_GATHER
minor gigantify potion	T3_POTION_REVIVE
minor healing potion	T2_POTION_HEAL
minor hellfire potion	T4_POTION_LAVA
minor poison potion	T4_POTION_COOLDOWN
minor resistance potion	T3_POTION_STONESKIN
minor sticky potion	T3_POTION_SLOWFIELD
minor tornado in a bottle	T4_POTION_TORNADO
mountain blindeye pie	T5_MEAL_PIE_FISH
murkwater clam soup	T3_MEAL_SOUP_FISH
mutton sandwich	T6_MEAL_SANDWICH
mutton stew	T6_MEAL_STEW
novice's axe	T2_2H_TOOL_AXE
novice's bag	T2_BAG
novice's bow	T2_2H_BOW
novice's broadsword	T2_MAIN_SWORD
novice's cape	T2_CAPE
novice's fire staff	T2_MAIN_FIRESTAFF
novice's mercenary hood	T2_HEAD_LEATHER_SET1
novice's mercenary jacket	T2_ARMOR_LEATHER_SET1
novice's mercenary shoes	T2_SHOES_LEATHER_SET1
novice's pickaxe	T2_2H_TOOL_PICK
novice's scholar cowl	T2_HEAD_CLOTH_SET1
novice's scholar robe	T2_ARMOR_CLOTH_SET1
novice's scholar sandals	T2_SHOES_CLOTH_SET1
novice's shield	T2_OFF_SHIELD
novice's sickle	T2_2H_TOOL_SICKLE
novice's siege hammer	T2_2H_TOOL_SIEGEHAMMER
novice's skinning knife	T2_2H_TOOL_KNIFE
novice's soldier armor	T2_ARMOR_PLATE_SET1
novice's soldier boots	T2_SHOES_PLATE_SET1
novice's soldier helmet	T2_HEAD_PLATE_SET1
novice's stone hammer	T2_2H_TOOL_HAMMER
novice's tome of spells	T2_OFF_BOOK
poison potion	T6_POTION_COOLDOWN
pork omelette	T7_MEAL_OMELETTE
pork pie	T7_MEAL_PIE
potato salad	T6_MEAL_SALAD
redspring eel stew	T6_MEAL_STEW_FISH
resistance potion	T5_POTION_STONESKIN
roast chicken	T3_MEAL_ROAST
roast goose	T5_MEAL_ROAST
roast pork	T7_MEAL_ROAST
roasted clearhaze snapper	T5_MEAL_ROAST_FISH
roasted puremist snapper	T7_MEAL_ROAST_FISH
roasted whitefog snapper	T3_MEAL_ROAST_FISH
rosalia's diary	T8_OFF_BOOK
rushwater lurcher sandwich	T6_MEAL_SANDWICH_FISH
shallowshore squid salad	T2_MEAL_SALAD_FISH
sticky potion	T5_POTION_SLOWFIELD
stonestream lurcher sandwich	T4_MEAL_SANDWICH_FISH
the hand of khor	T8_2H_AXE
thunderfall lurcher sandwich	T8_MEAL_SANDWICH_FISH
tornado in a bottle	T6_POTION_TORNADO
turnip salad	T4_MEAL_SALAD
upland coldeye pie	T3_MEAL_PIE_FISH
vendetta's wrath	T8_2H_FIRESTAFF
wheat soup	T3_MEAL_SOUP
